news_headline,news_article,news_category,full_text,clean_text
India vs Sri Lanka seemed like a university team vs school team match: Ramiz Raja,"Talking about the first India-Sri Lanka ODI, former Pakistan batsman Ramiz Raja said, ""India vs Sri Lanka seemed like a university team vs school team match."" He added, ""The way Sri Lanka played against spin, it looked like they had no idea how to tackle spin."" ""Everything about Sri Lanka seemed in slow motion,"" he further said.",sports,"India vs Sri Lanka seemed like a university team vs school team match: Ramiz Raja. Talking about the first India-Sri Lanka ODI, former Pakistan batsman Ramiz Raja said, ""India vs Sri Lanka seemed like a university team vs school team match."" He added, ""The way Sri Lanka played against spin, it looked like they had no idea how to tackle spin."" ""Everything about Sri Lanka seemed in slow motion,"" he further said.",india vs sri lanka seem like university team vs school team match ramiz raja talk first india sri lanka odi former pakistan batsman ramiz raja say india vs sri lanka seem like university team vs school team match add way sri lanka play spin look like no idea tackle spin everything sri lanka seem slow motion far say
Married millionaire Premier League footballer held on suspicion of child sex offences,"A 31-year-old married millionaire Premier League footballer has been arrested on suspicion of child sex offences. The player was arrested on Friday by Greater Manchester Police and his club has suspended him pending the police investigation. ""We will continue to support the authorities with their inquiries and will not be making any further statement at this time,"" his club said.",sports,"Married millionaire Premier League footballer held on suspicion of child sex offences. A 31-year-old married millionaire Premier League footballer has been arrested on suspicion of child sex offences. The player was arrested on Friday by Greater Manchester Police and his club has suspended him pending the police investigation. ""We will continue to support the authorities with their inquiries and will not be making any further statement at this time,"" his club said.",married millionaire premier league footballer hold suspicion child sex offence year old married millionaire premier league footballer arrest suspicion child sex offence player arrest friday great manchester police club suspend pende police investigation continue support authority inquiry not make statement time club say
Czech beach volleyball player tests positive for COVID-19 at Olympic Village in Tokyo,"Czech beach volleyball player Ondrej Perusic has returned a positive COVID-19 test at the Olympic Village in Tokyo, the Czech Republic's Olympic Committee said on Monday. The result comes after officials said on Saturday that a Czech team staff member had tested positive for COVID-19 after arriving in Tokyo on a charter flight from Prague.",sports,"Czech beach volleyball player tests positive for COVID-19 at Olympic Village in Tokyo. Czech beach volleyball player Ondrej Perusic has returned a positive COVID-19 test at the Olympic Village in Tokyo, the Czech Republic's Olympic Committee said on Monday. The result comes after officials said on Saturday that a Czech team staff member had tested positive for COVID-19 after arriving in Tokyo on a charter flight from Prague.",czech beach volleyball player test positive covid olympic village tokyo czech beach volleyball player ondrej perusic return positive covid test olympic village tokyo czech republic olympic committee say monday result come official say saturday czech team staff member test positive covid arrive tokyo charter flight prague
"Livingstone smashes ball out of the stadium, distance of six couldn't be measured","England batsman Liam Livingstone smashed a six against Pakistan fast bowler Haris Rauf in the second T20I which went out of the Headingley Stadium in Leeds. The distance of the six couldn't be measured, with a journalist claiming it covered a distance of around 122 metres. ""Big enough six to send Rauf back to domestic cricket,"" a fan joked.",sports,"Livingstone smashes ball out of the stadium, distance of six couldn't be measured. England batsman Liam Livingstone smashed a six against Pakistan fast bowler Haris Rauf in the second T20I which went out of the Headingley Stadium in Leeds. The distance of the six couldn't be measured, with a journalist claiming it covered a distance of around 122 metres. ""Big enough six to send Rauf back to domestic cricket,"" a fan joked.",livingstone smash ball stadium distance six could nt measure england batsman liam livingstone smash six pakistan fast bowler haris rauf second ti go headingley stadium leed distance six could nt measure journalist claim cover distance around metre big enough six send rauf back domestic cricket fan joke
Man allegedly rapes woman in her 20s at Tokyo Olympic Stadium,"A man has been arrested for allegedly raping a woman in her 20s at the Tokyo Olympic Stadium in Japan just days before the Games. The Uzbek man was identified as a university student named Davronbek Rakhmatullaev, the Tokyo Metropolitan Police Department said. The man reportedly raped her after they watched a rehearsal of the Olympic opening ceremony.",sports,"Man allegedly rapes woman in her 20s at Tokyo Olympic Stadium. A man has been arrested for allegedly raping a woman in her 20s at the Tokyo Olympic Stadium in Japan just days before the Games. The Uzbek man was identified as a university student named Davronbek Rakhmatullaev, the Tokyo Metropolitan Police Department said. The man reportedly raped her after they watched a rehearsal of the Olympic opening ceremony.",man allegedly rape woman tokyo olympic stadium man arrest allegedly rape woman tokyo olympic stadium japan day game uzbek man identify university student name davronbek rakhmatullaev tokyo metropolitan police department say man reportedly rape watch rehearsal olympic opening ceremony
"Olympics composer, who forced classmates to masturbate & eat faeces in school, resigns","Japanese musician Keigo Oyamada has stepped down as a composer for Tokyo Olympics opening ceremony after reports of his bullying and abusive behaviour resurfaced. Keigo had said in interviews that he forced his classmates to masturbate and eat faeces when at school. ""I was a very immature man who could not imagine how the victimised feel,"" he said while apologising.",sports,"Olympics composer, who forced classmates to masturbate & eat faeces in school, resigns. Japanese musician Keigo Oyamada has stepped down as a composer for Tokyo Olympics opening ceremony after reports of his bullying and abusive behaviour resurfaced. Keigo had said in interviews that he forced his classmates to masturbate and eat faeces when at school. ""I was a very immature man who could not imagine how the victimised feel,"" he said while apologising.",olympics composer force classmate masturbate eat faece school resign japanese musician keigo oyamada step composer tokyo olympics opening ceremony report bullying abusive behaviour resurface keigo say interview force classmate masturbate eat faece school I immature man could not imagine victimise feel say apologise
"Buttler, Mahmood help England beat Pakistan in 2nd T20I, level series 1-1","Jos Buttler's 59-run knock and Saqib Mahmood's three-wicket haul helped England defeat Pakistan by 45 runs in second T20I at Headingley, Leeds in England on Sunday. England posted 200 runs in 19.5 overs and Pakistan finished with 155/9 in 20 overs. Buttler returned to the team after sustaining a right calf injury last month. England levelled three-match T20I series 1-1.",sports,"Buttler, Mahmood help England beat Pakistan in 2nd T20I, level series 1-1. Jos Buttler's 59-run knock and Saqib Mahmood's three-wicket haul helped England defeat Pakistan by 45 runs in second T20I at Headingley, Leeds in England on Sunday. England posted 200 runs in 19.5 overs and Pakistan finished with 155/9 in 20 overs. Buttler returned to the team after sustaining a right calf injury last month. England levelled three-match T20I series 1-1.",buttler mahmood help england beat pakistan nd ti level series jos buttler run knock saqib mahmood three wicket haul help england defeat pakistan run second ti headingley leed england sunday england post run pakistan finish buttler return team sustain right calf injury last month england level three match ti series
Dhawan should've won Man of the Match in 1st ODI vs SL: Aakash ,"Commentator Aakash Chopra said that captain Shikhar Dhawan should've won 'Man of the Match' award for his unbeaten 86-run knock against Sri Lanka in first ODI. ""If Dhawan had got out early, the 43 [by Prithvi Shaw] and Ishan Kishan's 59 would've been seen from an entirely different perspective because the lower middle-order is still a bit inexperienced,"" he added.",sports,"Dhawan should've won Man of the Match in 1st ODI vs SL: Aakash . Commentator Aakash Chopra said that captain Shikhar Dhawan should've won 'Man of the Match' award for his unbeaten 86-run knock against Sri Lanka in first ODI. ""If Dhawan had got out early, the 43 [by Prithvi Shaw] and Ishan Kishan's 59 would've been seen from an entirely different perspective because the lower middle-order is still a bit inexperienced,"" he added.",dhawan win man match st odi vs sl aakash commentator aakash chopra say captain shikhar dhawan win man match award unbeaten run knock sri lanka first odi dhawan get early [ prithvi shaw ] ishan kishan would see entirely different perspective low middle order still bit inexperienced add
National football federation sends best wishes to Indian Olympic contingent,"All India Football Federation (AIFF) on Monday sent in their best wishes to the Olympic-bound Indian contingent for the upcoming Tokyo Olympics, beginning Friday. AIFF President Praful Patel, on behalf of the football fraternity, said he is confident that the ""Tricolour will fly high at the grand stage"". India has sent a record 127 athletes for the Games.
",sports,"National football federation sends best wishes to Indian Olympic contingent. All India Football Federation (AIFF) on Monday sent in their best wishes to the Olympic-bound Indian contingent for the upcoming Tokyo Olympics, beginning Friday. AIFF President Praful Patel, on behalf of the football fraternity, said he is confident that the ""Tricolour will fly high at the grand stage"". India has sent a record 127 athletes for the Games.
",national football federation send good wish indian olympic contingent india football federation aiff monday send good wish olympic bind indian contingent upcoming tokyo olympic begin friday aiff president praful patel behalf football fraternity say confident tricolour fly high grand stage india send record athlete game
Kudos to the team: Dhawan after 1st win as Team India captain,"Shikhar Dhawan credited his teammates after securing his first win as Team India captain against Sri Lanka in the first ODI. ""Kudos to the team on a fantastic start. Well done to our debutants. Great team effort by everyone,"" said Dhawan. Dhawan is the oldest player at 35 years and 225 days to make captaincy debut for India in ODIs.",sports,"Kudos to the team: Dhawan after 1st win as Team India captain. Shikhar Dhawan credited his teammates after securing his first win as Team India captain against Sri Lanka in the first ODI. ""Kudos to the team on a fantastic start. Well done to our debutants. Great team effort by everyone,"" said Dhawan. Dhawan is the oldest player at 35 years and 225 days to make captaincy debut for India in ODIs.",kudo team dhawan st win team india captain shikhar dhawan credit teammate secure first win team india captain sri lanka first odi kudo team fantastic start well debutant great team effort everyone say dhawan dhawan old player year day make captaincy debut india odis
Chahal and I are comfortable with each other: Kuldeep after 1st ODI win vs SL,"After Team India's seven-wicket win in first ODI against Sri Lanka on Sunday, India spinner Kuldeep Yadav said he's very happy that he and Yuzvendra Chahal got to play together for Team India for the first time after 2019. ""We are comfortable with each other...we both share inputs on the field,"" he added. Kuldeep and Chahal took two wickets each.",sports,"Chahal and I are comfortable with each other: Kuldeep after 1st ODI win vs SL. After Team India's seven-wicket win in first ODI against Sri Lanka on Sunday, India spinner Kuldeep Yadav said he's very happy that he and Yuzvendra Chahal got to play together for Team India for the first time after 2019. ""We are comfortable with each other...we both share inputs on the field,"" he added. Kuldeep and Chahal took two wickets each.",chahal I comfortable kuldeep st odi win vs sl team india seven wicket win first odi sri lanka sunday india spinner kuldeep yadav say happy yuzvendra chahal get play together team india first time comfortable share input field add kuldeep chahal take two wicket
Dad would always get goosebumps talking about Olympics: Jeev Milkha Singh,"Ahead of upcoming Tokyo Olympics, golfer Jeev Milkha Singh said his late father, legendary sprinter Milkha Singh, would always get goosebumps talking about the Olympics. ""Olympics is the pinnacle of sports. I know how much it means to all sportspersons to represent their country at the Olympics,"" he added. Milkha Singh passed away last month due to COVID-19-related complications.
",sports,"Dad would always get goosebumps talking about Olympics: Jeev Milkha Singh. Ahead of upcoming Tokyo Olympics, golfer Jeev Milkha Singh said his late father, legendary sprinter Milkha Singh, would always get goosebumps talking about the Olympics. ""Olympics is the pinnacle of sports. I know how much it means to all sportspersons to represent their country at the Olympics,"" he added. Milkha Singh passed away last month due to COVID-19-related complications.
",dad would always get goosebump talk olympic jeev milkha singh ahead upcoming tokyo olympic golfer jeev milkha singh say late father legendary sprinter milkha singh would always get goosebump talk olympic olympic pinnacle sport I know much mean sportsperson represent country olympic add milkha singh pass away last month due covid relate complication
Qualifying rules in tennis for Tokyo doubles don't make sense: Bopanna,"After failing to qualify for Tokyo Olympics, India's doubles tennis player Rohan Bopanna said International Tennis Federation's (ITF) qualifying rules deciding singles ranking is a priority for a doubles event doesn't make sense to him. ""At the end of day, you can't have guys whose combined ranking is below you and...still get priority to play ahead of you,"" he added.
",sports,"Qualifying rules in tennis for Tokyo doubles don't make sense: Bopanna. After failing to qualify for Tokyo Olympics, India's doubles tennis player Rohan Bopanna said International Tennis Federation's (ITF) qualifying rules deciding singles ranking is a priority for a doubles event doesn't make sense to him. ""At the end of day, you can't have guys whose combined ranking is below you and...still get priority to play ahead of you,"" he added.
",qualifying rule tennis tokyo double nt make sense bopanna fail qualify tokyo olympics india double tennis player rohan bopanna say international tennis federation itf qualify rule decide single ranking priority double event nt make sense end day ca nt guy whose combine ranking still get priority play ahead add
US female gymnast tests COVID-19 +ve ahead of Tokyo Olympics,"Ahead of Tokyo Olympics, a female gymnast from US has tested positive for COVID-19 at her pre-Tokyo Olympics training camp, the city hosting the athlete said on Monday. The city of Inzai in Chiba Prefecture didn't disclose the name of the athlete who is in her teens, according to a report. Olympics will begin from Friday.",sports,"US female gymnast tests COVID-19 +ve ahead of Tokyo Olympics. Ahead of Tokyo Olympics, a female gymnast from US has tested positive for COVID-19 at her pre-Tokyo Olympics training camp, the city hosting the athlete said on Monday. The city of Inzai in Chiba Prefecture didn't disclose the name of the athlete who is in her teens, according to a report. Olympics will begin from Friday.",female gymnast test covid ahead tokyo olympics ahead tokyo olympics female gymnast test positive covid pre tokyo olympic training camp city host athlete say monday city inzai chiba prefecture nt disclose name athlete teen accord report olympic begin friday
World no. 8 Berrettini withdraws from Olympics due to thigh injury,"Wimbledon 2021 finalist Matteo Berrettini of Italy has withdrawn from the upcoming Tokyo Olympics due to a left thigh injury, the world number eight said on Sunday. ""I had an MRI scan yesterday (Saturday) on the thigh injury I sustained during Wimbledon and was informed I will not be able to compete for a couple of weeks,"" said the 25-year-old.
",sports,"World no. 8 Berrettini withdraws from Olympics due to thigh injury. Wimbledon 2021 finalist Matteo Berrettini of Italy has withdrawn from the upcoming Tokyo Olympics due to a left thigh injury, the world number eight said on Sunday. ""I had an MRI scan yesterday (Saturday) on the thigh injury I sustained during Wimbledon and was informed I will not be able to compete for a couple of weeks,"" said the 25-year-old.
",world no berrettini withdraw olympic due thigh injury wimbledon finalist matteo berrettini italy withdraw upcoming tokyo olympic due left thigh injury world number eight say sunday I mri scan yesterday saturday thigh injury I sustain wimbledon inform I not able compete couple week say year old
"It'll be difficult to ignore Kishan, Shaw for T20 World Cup: Harbhajan","Veteran off-spinner Harbhajan Singh said it will be difficult to ignore young Indian batsmen Ishan Kishan and Prithvi Shaw for the T20 World Cup. ""The way Shaw and Kishan have batted in an international game [against Sri Lanka] shows how capable they are...if you want to win the World Cup you need players like these,"" he added.",sports,"It'll be difficult to ignore Kishan, Shaw for T20 World Cup: Harbhajan. Veteran off-spinner Harbhajan Singh said it will be difficult to ignore young Indian batsmen Ishan Kishan and Prithvi Shaw for the T20 World Cup. ""The way Shaw and Kishan have batted in an international game [against Sri Lanka] shows how capable they are...if you want to win the World Cup you need players like these,"" he added.",difficult ignore kishan shaw world cup harbhajan veteran spinner harbhajan singh say difficult ignore young indian batsmen ishan kishan prithvi shaw world cup way shaw kishan bat international game [ sri lanka ] show capable want win world cup need player like add
"World no. 25 Gauff tests COVID-19 +ve, pulls out of Tokyo Olympics","World number 25 Coco Gauff has withdrawn from the upcoming Tokyo Olympics after testing positive for COVID-19, the American said on Sunday. ""It has always been a dream of mine to represent the USA at the Olympics, and I hope there will be many more chances for me to make this come true in the future,"" added the 17-year-old.",sports,"World no. 25 Gauff tests COVID-19 +ve, pulls out of Tokyo Olympics. World number 25 Coco Gauff has withdrawn from the upcoming Tokyo Olympics after testing positive for COVID-19, the American said on Sunday. ""It has always been a dream of mine to represent the USA at the Olympics, and I hope there will be many more chances for me to make this come true in the future,"" added the 17-year-old.",world no gauff test covid pull tokyo olympics world number coco gauff withdraw upcoming tokyo olympic test positive covid american say sunday always dream mine represent usa olympic I hope many chance I make come true future add year old
Reality star says she'll be naked to 'scare' hotel staff in Australia; sent back to UK,"British reality star Katie Hopkins has been deported from Australia after she said in an Instagram video that she planned to breach quarantine rules. Hopkins had said she'd ""frighten"" staff of the hotel, where she was in quarantine, by appearing in front of them ""naked with no face mask"". She was to appear in the TV show 'Big Brother VIP'.",world,"Reality star says she'll be naked to 'scare' hotel staff in Australia; sent back to UK. British reality star Katie Hopkins has been deported from Australia after she said in an Instagram video that she planned to breach quarantine rules. Hopkins had said she'd ""frighten"" staff of the hotel, where she was in quarantine, by appearing in front of them ""naked with no face mask"". She was to appear in the TV show 'Big Brother VIP'.",reality star say naked scare hotel staff australia send back uk british reality star katie hopkin deport australia say instagram video plan breach quarantine rule hopkin say frighten staff hotel quarantine appear front naked no face mask appear tv show big brother vip
Man allegedly rapes woman in her 20s at Tokyo Olympic Stadium,"A man has been arrested for allegedly raping a woman in her 20s at the Tokyo Olympic Stadium in Japan just days before the Games. The Uzbek man was identified as a university student named Davronbek Rakhmatullaev, the Tokyo Metropolitan Police Department said. The man reportedly raped her after they watched a rehearsal of the Olympic opening ceremony.",world,"Man allegedly rapes woman in her 20s at Tokyo Olympic Stadium. A man has been arrested for allegedly raping a woman in her 20s at the Tokyo Olympic Stadium in Japan just days before the Games. The Uzbek man was identified as a university student named Davronbek Rakhmatullaev, the Tokyo Metropolitan Police Department said. The man reportedly raped her after they watched a rehearsal of the Olympic opening ceremony.",man allegedly rape woman tokyo olympic stadium man arrest allegedly rape woman tokyo olympic stadium japan day game uzbek man identify university student name davronbek rakhmatullaev tokyo metropolitan police department say man reportedly rape watch rehearsal olympic opening ceremony
Canada extends ban on flights from India until Aug 21 due to Delta COVID variant fears,"Canada has extended the ban on incoming passenger flights from India until August 21 due to Delta COVID-19 variant fears. ""The decision is based on the advice received from the Public Health Agency of Canada, and will best protect Canadians from an increased introduction of the Delta variant, which is prevalent in India,"" Canada Transport Minister Omar Alghabra said.",world,"Canada extends ban on flights from India until Aug 21 due to Delta COVID variant fears. Canada has extended the ban on incoming passenger flights from India until August 21 due to Delta COVID-19 variant fears. ""The decision is based on the advice received from the Public Health Agency of Canada, and will best protect Canadians from an increased introduction of the Delta variant, which is prevalent in India,"" Canada Transport Minister Omar Alghabra said.",canada extend ban flight india aug due delta covid variant fear canada extend ban incoming passenger flight india august due delta covid variant fear decision base advice receive public health agency canada well protect canadian increase introduction delta variant prevalent india canada transport minister omar alghabra say
"Policeman keeps a stabbing victim alive using chips packet, tape in US; video surfaces",A video showing a New York police officer keeping a stabbing victim alive using an empty chips packet and tape has surfaced online. Officer Ronald Kennedy used the packet and the tape to stem the bleeding before an ambulance arrived and transported the victim to hospital. Kennedy responded to the stabbing in Harlem on July 7.,world,"Policeman keeps a stabbing victim alive using chips packet, tape in US; video surfaces. A video showing a New York police officer keeping a stabbing victim alive using an empty chips packet and tape has surfaced online. Officer Ronald Kennedy used the packet and the tape to stem the bleeding before an ambulance arrived and transported the victim to hospital. Kennedy responded to the stabbing in Harlem on July 7.",policeman keep stab victim alive use chip packet tape video surface video show new york police officer keep stabbing victim alive use empty chip packet tape surface online officer ronald kennedy use packet tape stem bleeding ambulance arrive transport victim hospital kennedy respond stabbing harlem july
3 rockets land near presidential palace in Afghanistan during Eid prayers,"Three rockets landed near the Afghan presidential palace during Eid al-Adha prayers, with the moment being captured on Live TV. The rockets landed outside the palace, an interior ministry spokesperson said, adding that there were no immediate reports of injuries. The attack took place during the outdoor gathering for prayers in the palace compound attended by President Ashraf Ghani.",world,"3 rockets land near presidential palace in Afghanistan during Eid prayers. Three rockets landed near the Afghan presidential palace during Eid al-Adha prayers, with the moment being captured on Live TV. The rockets landed outside the palace, an interior ministry spokesperson said, adding that there were no immediate reports of injuries. The attack took place during the outdoor gathering for prayers in the palace compound attended by President Ashraf Ghani.",rocket land near presidential palace afghanistan eid prayer three rocket land near afghan presidential palace eid al adha prayer moment capture live tv rocket land outside palace interior ministry spokesperson say add no immediate report injury attack take place outdoor gathering prayer palace compound attend president ashraf ghani
51-yr-old rural school teacher wins Peru's presidential election,"A rural teacher on Monday became the winner of Peru's presidential election after the country's longest electoral count in 40 years. Pedro Castillo, 51, defeated politician Keiko Fujimori by just 44,000 votes. Castillo, who led the largest teacher strike in 30 years in 2017, worked as an elementary school teacher for the last 25 years in San Luis de Puna.",world,"51-yr-old rural school teacher wins Peru's presidential election. A rural teacher on Monday became the winner of Peru's presidential election after the country's longest electoral count in 40 years. Pedro Castillo, 51, defeated politician Keiko Fujimori by just 44,000 votes. Castillo, who led the largest teacher strike in 30 years in 2017, worked as an elementary school teacher for the last 25 years in San Luis de Puna.",yr old rural school teacher win peru presidential election rural teacher monday become winner peru presidential election country long electoral count year pedro castillo defeat politician keiko fujimori vote castillo lead large teacher strike year work elementary school teacher last year san luis de puna
Iran imposes week-long lockdown in Tehran amid COVID-19 surge,"Amid a surge in coronavirus cases, Iran on Monday placed its capital Tehran and its surrounding region under a week-long COVID-19 lockdown. All markets, public places, movie theatres, gyms and restaurants have been ordered shut. Iran has reported more than 35 lakh coronavirus cases and over 87,000 COVID-19 deaths, according to Johns Hopkins University tracker.",world,"Iran imposes week-long lockdown in Tehran amid COVID-19 surge. Amid a surge in coronavirus cases, Iran on Monday placed its capital Tehran and its surrounding region under a week-long COVID-19 lockdown. All markets, public places, movie theatres, gyms and restaurants have been ordered shut. Iran has reported more than 35 lakh coronavirus cases and over 87,000 COVID-19 deaths, according to Johns Hopkins University tracker.",iran impose week long lockdown tehran amid covid surge amid surge coronavirus case iran monday place capital tehran surround region week long covid lockdown market public place movie theatre gym restaurant order shut iran report lakh coronavirus case covid death accord johns hopkins university tracker
Taiwan approves local COVID-19 vaccine candidate for emergency use,"Taiwan on Monday approved the emergency use and production of a COVID-19 vaccine developed by Taiwanese firm Medigen Vaccine Biologics Corp. The vaccine candidate is yet to finish clinical trials and no efficacy data is available, according to Reuters. There were no major safety concerns during clinical trials of the vaccine in Taiwan, the country's Health Ministry said.",world,"Taiwan approves local COVID-19 vaccine candidate for emergency use. Taiwan on Monday approved the emergency use and production of a COVID-19 vaccine developed by Taiwanese firm Medigen Vaccine Biologics Corp. The vaccine candidate is yet to finish clinical trials and no efficacy data is available, according to Reuters. There were no major safety concerns during clinical trials of the vaccine in Taiwan, the country's Health Ministry said.",taiwan approve local covid vaccine candidate emergency use taiwan monday approve emergency use production covid vaccine develop taiwanese firm medigen vaccine biologics corp vaccine candidate yet finish clinical trial no efficacy datum available accord reuters no major safety concern clinical trial vaccine taiwan country health ministry say
Brazil approves clinical trials with 3rd dose of AstraZeneca vaccine,"Brazil's National Health Surveillance Agency (ANVISA) on Monday said that it has approved trials with a third dose of the Oxford-AstraZeneca vaccine against COVID-19. A third dose of the vaccine would be administered to 10,000 volunteers between 11 and 13 months after the second shot, it added. Brazil is one of the worst-coronavirus hit countries with over 1.93 crore cases.",world,"Brazil approves clinical trials with 3rd dose of AstraZeneca vaccine. Brazil's National Health Surveillance Agency (ANVISA) on Monday said that it has approved trials with a third dose of the Oxford-AstraZeneca vaccine against COVID-19. A third dose of the vaccine would be administered to 10,000 volunteers between 11 and 13 months after the second shot, it added. Brazil is one of the worst-coronavirus hit countries with over 1.93 crore cases.",brazil approve clinical trial rd dose astrazeneca vaccine brazil national health surveillance agency anvisa monday say approve trial third dose oxford astrazeneca vaccine covid third dose vaccine would administer volunteer month second shot add brazil one bad coronavirus hit country crore case
COVID-19 cases on South Korean warship off Africa rises to 247,"The total number of coronavirus cases on a South Korean warship off Africa rose to 247, the military said. South Korea's Joint Chiefs of Staff said that just 50 of the ship's 301-member crew had tested negative for COVID-19 in an outbreak that was first reported on July 15. The military has started an operation to bring the crew home.",world,"COVID-19 cases on South Korean warship off Africa rises to 247. The total number of coronavirus cases on a South Korean warship off Africa rose to 247, the military said. South Korea's Joint Chiefs of Staff said that just 50 of the ship's 301-member crew had tested negative for COVID-19 in an outbreak that was first reported on July 15. The military has started an operation to bring the crew home.",covid case south korean warship africa rise total number coronavirus case south korean warship africa rise military say south korea joint chiefs staff say ship member crew test negative covid outbreak first report july military start operation bring crew home
US issues 'Do Not Travel' advisory for UK amid COVID-19 surge,"The US State Department and the US Centers for Disease Control and Prevention (CDC) on Monday issued the highest warnings against travel to the UK amid rising coronavirus cases in Britain. Coronavirus cases in the UK are rising by more than 50,000 a day and hundreds of thousands of Britons have been asked to self isolate for 10 days. ",world,"US issues 'Do Not Travel' advisory for UK amid COVID-19 surge. The US State Department and the US Centers for Disease Control and Prevention (CDC) on Monday issued the highest warnings against travel to the UK amid rising coronavirus cases in Britain. Coronavirus cases in the UK are rising by more than 50,000 a day and hundreds of thousands of Britons have been asked to self isolate for 10 days. ",issue not travel advisory uk amid covid surge us state department us center disease control prevention cdc monday issue high warning travel uk amid rise coronavirus case britain coronavirus case uk rise day hundred thousand briton ask self isolate day
Digital yuan could be used to spy on US Olympic athletes: Senators,"Three US Senators have written to Susanne Lyons, Board Chair of the US Olympic Committee, warning that the use of digital yuan by US athletes during the Beijing Olympics could be used to spy on them. They have asked the committee to ""forbid"" American athletes from receiving or using digital yuan during the Beijing Olympics in 2022.

",world,"Digital yuan could be used to spy on US Olympic athletes: Senators. Three US Senators have written to Susanne Lyons, Board Chair of the US Olympic Committee, warning that the use of digital yuan by US athletes during the Beijing Olympics could be used to spy on them. They have asked the committee to ""forbid"" American athletes from receiving or using digital yuan during the Beijing Olympics in 2022.

",digital yuan could use spy olympic athlete senator three us senator write susanne lyons board chair us olympic committee warn use digital yuan athlete beijing olympic could use spy ask committee forbid american athlete receive use digital yuan beijing olympics
Using spyware against journalists is unacceptable: EU chief,"European Commission President Ursula von der Leyen said it was ""completely unacceptable"" to use spyware against journalists after reports suggested Israeli spyware 'Pegasus' was used to hack journalists' smartphones worldwide including India. She added, ""Freedom of media, free press is one of the core values of the EU...This has to be verified, but if it's the case, it's completely unacceptable.""",world,"Using spyware against journalists is unacceptable: EU chief. European Commission President Ursula von der Leyen said it was ""completely unacceptable"" to use spyware against journalists after reports suggested Israeli spyware 'Pegasus' was used to hack journalists' smartphones worldwide including India. She added, ""Freedom of media, free press is one of the core values of the EU...This has to be verified, but if it's the case, it's completely unacceptable.""",use spyware journalist unacceptable eu chief european commission president ursula von der leyen say completely unacceptable use spyware journalist report suggest israeli spyware pegasus use hack journalist smartphone worldwide include india add freedom medium free press one core value eu verify case completely unacceptable
US Capitol rioter who 'posed for selfies' in Senate jailed,"The US Capitol rioter who breached the US Senate chamber on January 6, carrying a ""Trump 2020"" campaign flag and posed for selfies, was sentenced to eight months in prison on Monday. Paul Hodgkins is the first person to be sentenced to prison for his part in US Capitol riots. Hodgkins had pleaded guilty to one felony count in June. ",world,"US Capitol rioter who 'posed for selfies' in Senate jailed. The US Capitol rioter who breached the US Senate chamber on January 6, carrying a ""Trump 2020"" campaign flag and posed for selfies, was sentenced to eight months in prison on Monday. Paul Hodgkins is the first person to be sentenced to prison for his part in US Capitol riots. Hodgkins had pleaded guilty to one felony count in June. ",us capitol rioter pose selfie senate jail us capitol rioter breach us senate chamber january carry trump campaign flag pose selfie sentence eight month prison monday paul hodgkins first person sentence prison part us capitol riot hodgkin plead guilty one felony count june
"Bandits shoot down Nigerian Air Force attack jet, pilot safe","Intense fire from bandits caused a light attack aircraft belonging to the Nigerian Air Force to crash in Nigeria's Zamfara state, the military said on Monday. The pilot safely ejected from the jet and made his way to an army unit, it added. The jet was returning to base from a mission on the Zamfara-Kaduna border, it further said.",world,"Bandits shoot down Nigerian Air Force attack jet, pilot safe. Intense fire from bandits caused a light attack aircraft belonging to the Nigerian Air Force to crash in Nigeria's Zamfara state, the military said on Monday. The pilot safely ejected from the jet and made his way to an army unit, it added. The jet was returning to base from a mission on the Zamfara-Kaduna border, it further said.",bandit shoot nigerian air force attack jet pilot safe intense fire bandit cause light attack aircraft belong nigerian air force crash nigeria zamfara state military say monday pilot safely eject jet make way army unit add jet return base mission zamfara kaduna border far say
Danish cartoonist who drew Prophet Muhammad's caricature dies at 86,"Danish cartoonist Kurt Westergaard, known for his caricature of Prophet Muhammad wearing a bomb as a turban, passed away at the age of 86, his family told the local media on Sunday. He passed away in his sleep after a long period of illness, they added. Westergaard's caricature had triggered widespread protests in the Muslim world in the mid-2000s.",world,"Danish cartoonist who drew Prophet Muhammad's caricature dies at 86. Danish cartoonist Kurt Westergaard, known for his caricature of Prophet Muhammad wearing a bomb as a turban, passed away at the age of 86, his family told the local media on Sunday. He passed away in his sleep after a long period of illness, they added. Westergaard's caricature had triggered widespread protests in the Muslim world in the mid-2000s.",danish cartoonist draw prophet muhammad caricature die danish cartoonist kurt westergaard know caricature prophet muhammad wear bomb turban pass away age family tell local medium sunday pass away sleep long period illness add westergaard caricature trigger widespread protest muslim world mid
